entry_identifier,start_date,end_date,source_ip,dest_ip,tool,user_context,command,description,output,comments,operator_name,extra_fields,oplog_id,tags
39,2023-12-21 16:18:49,2024-01-22 13:43:44,42.118.146.148,35.79.43.142,Poseidon,sfranklin@gordon.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Christy Green,,,
40,2024-01-02 21:08:05,2024-01-19 10:17:35,206.174.99.211,126.91.142.205,Poseidon,fwilliams@mays.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Christy Green,,,
41,2024-06-09 06:19:13,2024-06-09 06:19:13.666744,206.0.98.240,84.240.138.150,Poseidon,johngross@jones.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Richard Mcbride,,,
42,2024-04-25 19:31:24,2024-04-25 19:31:24.902101,163.193.224.188,157.2.65.239,Poseidon,sfranklin@gordon.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
43,2024-06-06 10:52:41,2024-06-06 10:52:41.056321,206.174.99.211,18.176.66.97,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
44,2024-04-18 00:06:28,2024-04-18 00:06:28.307447,112.130.185.251,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Christy Green,,,
45,2023-12-19 18:39:36,2024-01-27 16:08:03,155.225.136.72,157.2.65.239,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
46,2024-01-24 21:50:27,2024-02-08 00:50:05,42.118.146.148,18.176.66.97,Poseidon,johngross@jones.com,sleep 38,"PID 16959, Callback 63",Failed,Sleeping a beacon,Christy Green,,,
47,2024-06-29 23:13:48,2024-06-29 23:13:48.407686,63.79.24.226,84.240.138.150,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Richard Mcbride,,,
48,2024-06-07 10:46:45,2024-06-07 10:46:45.784475,163.193.224.188,157.2.65.239,OST,hendersonjohn@dalton-lam.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Deborah Hunter,,,
49,2023-12-31 07:40:20,2024-01-04 03:40:59,63.79.24.226,126.91.142.205,Cobalt Strike,sfranklin@gordon.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Richard Mcbride,,,
50,2024-06-01 02:06:41,2024-06-01 02:06:41.248477,206.174.99.211,157.2.65.239,Poseidon,johngross@jones.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Richard Mcbride,,,
51,2024-02-16 01:32:40,2024-02-16 01:58:40,206.0.98.240,126.91.142.205,Cobalt Strike,fwilliams@mays.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Christy Green,,,
52,2024-04-01 19:47:55,2024-04-01 19:47:55.295487,206.0.98.240,84.240.138.150,Cobalt Strike,jschmitt@martinez.com,pwd,PID 29413,Failed,Obtaining current working directory,Deborah Hunter,,,
53,2024-02-28 23:52:53,2024-02-28 23:52:53.584519,163.193.224.188,157.2.65.239,OST,fwilliams@mays.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
54,2024-03-30 15:51:43,2024-03-30 15:51:43.294263,155.225.136.72,18.176.66.97,OST,fwilliams@mays.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
55,2024-05-01 07:09:44,2024-05-01 07:09:44.935832,42.118.146.148,18.176.66.97,Cobalt Strike,seanlopez@green-bullock.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Deborah Hunter,,,
56,2024-06-25 00:27:24,2024-06-25 00:27:24.377187,42.118.146.148,18.176.66.97,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Deborah Hunter,,,
57,2024-04-12 02:46:12,2024-04-12 02:46:12.508390,163.193.224.188,126.91.142.205,Poseidon,johngross@jones.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Richard Mcbride,,,
58,2024-03-21 13:32:48,2024-03-21 13:32:48.378352,163.193.224.188,18.176.66.97,Poseidon,seanlopez@green-bullock.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Richard Mcbride,,,
59,2024-01-26 22:13:15,2024-02-14 10:53:06,42.118.146.148,64.69.133.141,Poseidon,jschmitt@martinez.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Deborah Hunter,,,
60,2024-06-08 11:21:07,2024-06-08 11:21:07.384662,42.118.146.148,126.91.142.205,Poseidon,hendersonjohn@dalton-lam.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Richard Mcbride,,,
61,2024-01-23 20:51:18,2024-01-25 10:41:38,42.118.146.148,174.200.177.205,Cobalt Strike,johngross@jones.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
62,2024-04-30 03:34:02,2024-04-30 03:34:02.580315,155.225.136.72,126.91.142.205,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Richard Mcbride,,,
63,2024-06-26 21:51:30,2024-06-26 21:51:30.712153,206.0.98.240,174.200.177.205,Cobalt Strike,seanlopez@green-bullock.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
64,2023-12-24 18:39:35,2024-01-19 17:52:51,163.193.224.188,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Richard Mcbride,,,
65,2024-05-18 04:30:44,2024-05-18 04:30:44.652709,155.225.136.72,174.200.177.205,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Christy Green,,,
66,2023-12-20 10:27:55,2023-12-29 05:13:13,63.79.24.226,84.240.138.150,Poseidon,seanlopez@green-bullock.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
67,2024-06-02 03:15:56,2024-06-02 03:15:56.174911,63.79.24.226,84.240.138.150,OST,seanlopez@green-bullock.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Christy Green,,,
68,2024-01-23 02:00:17,2024-02-05 11:28:05,155.225.136.72,64.69.133.141,Poseidon,jschmitt@martinez.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Christy Green,,,
69,2024-04-16 21:12:23,2024-04-16 21:12:23.472243,63.79.24.226,18.176.66.97,OST,sfranklin@gordon.com,ls,PID: 13267,Success,Listing files and directories,Christy Green,,,
70,2024-05-06 08:26:22,2024-05-06 08:26:22.525761,112.130.185.251,126.91.142.205,Cobalt Strike,johngross@jones.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Richard Mcbride,,,
71,2024-03-28 07:24:30,2024-03-28 07:24:30.229359,163.193.224.188,64.69.133.141,Cobalt Strike,sfranklin@gordon.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Richard Mcbride,,,
72,2024-02-29 22:40:52,2024-02-29 22:40:52.121205,155.225.136.72,126.91.142.205,Cobalt Strike,hendersonjohn@dalton-lam.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Deborah Hunter,,,
73,2024-03-15 07:39:15,2024-03-15 07:39:15.262247,112.130.185.251,64.69.133.141,Cobalt Strike,seanlopez@green-bullock.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
74,2023-12-15 14:16:07,2024-02-08 03:30:05,206.174.99.211,64.69.133.141,Cobalt Strike,hendersonjohn@dalton-lam.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
75,2024-04-15 02:38:08,2024-04-15 02:38:08.635939,206.0.98.240,18.176.66.97,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Richard Mcbride,,,
76,2024-05-05 21:26:40,2024-05-05 21:26:40.555736,42.118.146.148,84.240.138.150,Cobalt Strike,hendersonjohn@dalton-lam.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Christy Green,,,
77,2024-04-27 10:45:53,2024-04-27 10:45:53.984700,42.118.146.148,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,shinject 13530 x64 /edge.bin,PID 20047,Success,Attempting process injection,Deborah Hunter,,,
78,2024-06-07 14:01:20,2024-06-07 14:01:20.349989,112.130.185.251,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Christy Green,,,
79,2024-01-12 06:27:52,2024-01-19 14:36:01,155.225.136.72,174.200.177.205,Cobalt Strike,fwilliams@mays.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Richard Mcbride,,,
80,2024-01-27 08:01:00,2024-02-07 05:02:22,163.193.224.188,174.200.177.205,Poseidon,sfranklin@gordon.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Failed,Conducting container discovery,Christy Green,,,
81,2024-02-05 07:06:07,2024-02-15 03:26:56,63.79.24.226,157.2.65.239,OST,sarahallen@combs-anderson.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Christy Green,,,
82,2024-01-01 14:54:46,2024-01-23 13:54:52,163.193.224.188,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Deborah Hunter,,,
83,2024-04-13 01:38:04,2024-04-13 01:38:04.725166,206.174.99.211,35.79.43.142,Poseidon,sfranklin@gordon.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Christy Green,,,
84,2024-01-02 20:52:10,2024-01-14 14:55:34,163.193.224.188,174.200.177.205,OST,sfranklin@gordon.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Richard Mcbride,,,
85,2024-02-02 12:59:36,2024-02-04 03:25:48,112.130.185.251,126.91.142.205,Cobalt Strike,fwilliams@mays.com,shinject 13530 x64 /edge.bin,PID 20047,Success,Attempting process injection,Richard Mcbride,,,
86,2024-01-20 10:24:18,2024-01-22 08:32:28,63.79.24.226,64.69.133.141,OST,sarahallen@combs-anderson.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
87,2024-01-19 15:32:48,2024-02-05 10:55:40,206.0.98.240,84.240.138.150,OST,jschmitt@martinez.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Christy Green,,,
88,2024-01-05 06:13:04,2024-01-16 19:28:09,206.0.98.240,174.200.177.205,Poseidon,fwilliams@mays.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Richard Mcbride,,,
89,2024-03-14 03:40:13,2024-03-14 03:40:13.880539,206.0.98.240,35.79.43.142,Cobalt Strike,seanlopez@green-bullock.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
90,2023-12-20 08:30:15,2024-01-24 03:50:39,42.118.146.148,84.240.138.150,Cobalt Strike,johngross@jones.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Christy Green,,,
91,2024-04-29 15:42:44,2024-04-29 15:42:44.026645,63.79.24.226,35.79.43.142,Cobalt Strike,johngross@jones.com,shinject 13530 x64 /edge.bin,PID 20047,Failed,Attempting process injection,Richard Mcbride,,,
92,2024-01-01 02:46:30,2024-01-15 05:51:25,206.174.99.211,64.69.133.141,OST,johngross@jones.com,ls,PID: 13267,Failed,Listing files and directories,Richard Mcbride,,,
93,2023-12-24 12:02:26,2024-01-25 18:28:48,206.174.99.211,64.69.133.141,Cobalt Strike,sfranklin@gordon.com,shinject 13530 x64 /edge.bin,PID 20047,Success,Attempting process injection,Richard Mcbride,,,
94,2024-04-05 14:44:49,2024-04-05 14:44:49.550187,206.174.99.211,18.176.66.97,Cobalt Strike,sfranklin@gordon.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Richard Mcbride,,,
95,2024-03-02 01:16:24,2024-03-02 01:16:24.242683,155.225.136.72,126.91.142.205,Poseidon,sfranklin@gordon.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Christy Green,,,
96,2024-02-21 05:37:46,2024-02-21 05:37:46.971480,42.118.146.148,18.176.66.97,Poseidon,johngross@jones.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Deborah Hunter,,,
97,2024-06-05 15:11:21,2024-06-05 15:11:21.164774,155.225.136.72,126.91.142.205,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Richard Mcbride,,,
98,2024-02-06 02:45:57,2024-02-08 01:07:10,42.118.146.148,84.240.138.150,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Richard Mcbride,,,
99,2024-03-11 06:49:24,2024-03-11 06:49:24.291935,63.79.24.226,157.2.65.239,Poseidon,seanlopez@green-bullock.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Deborah Hunter,,,
100,2023-12-24 16:19:08,2024-01-16 04:46:48,206.174.99.211,18.176.66.97,OST,seanlopez@green-bullock.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Richard Mcbride,,,
101,2024-05-03 20:02:25,2024-05-03 20:02:25.043267,206.174.99.211,174.200.177.205,Poseidon,sfranklin@gordon.com,sleep 38,"PID 16959, Callback 63",Failed,Sleeping a beacon,Christy Green,,,
102,2024-02-25 03:49:37,2024-02-25 03:49:37.391408,163.193.224.188,84.240.138.150,OST,fwilliams@mays.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Deborah Hunter,,,
103,2024-03-20 10:25:49,2024-03-20 10:25:49.722584,155.225.136.72,18.176.66.97,Poseidon,johngross@jones.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
104,2024-02-27 10:06:05,2024-02-27 10:06:05.532470,163.193.224.188,174.200.177.205,OST,johngross@jones.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Richard Mcbride,,,
105,2024-05-07 05:08:52,2024-05-07 05:08:52.451941,63.79.24.226,35.79.43.142,OST,hendersonjohn@dalton-lam.com,ls,PID: 13267,Failed,Listing files and directories,Deborah Hunter,,,
106,2024-01-02 00:33:19,2024-01-24 19:58:20,42.118.146.148,64.69.133.141,Poseidon,jschmitt@martinez.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
107,2023-12-22 05:59:21,2024-01-18 14:12:00,206.174.99.211,157.2.65.239,OST,seanlopez@green-bullock.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Richard Mcbride,,,
108,2024-01-31 00:34:57,2024-02-13 16:43:38,112.130.185.251,84.240.138.150,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Deborah Hunter,,,
109,2024-01-04 16:07:39,2024-01-15 22:27:14,42.118.146.148,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Richard Mcbride,,,
110,2023-12-16 06:47:00,2023-12-23 08:21:56,112.130.185.251,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Deborah Hunter,,,
111,2024-06-10 05:06:20,2024-06-10 05:06:20.100714,112.130.185.251,157.2.65.239,Cobalt Strike,jschmitt@martinez.com,pwd,PID 29413,Success,Obtaining current working directory,Richard Mcbride,,,
112,2024-04-24 06:53:23,2024-04-24 06:53:23.132776,163.193.224.188,18.176.66.97,Cobalt Strike,jschmitt@martinez.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Richard Mcbride,,,
113,2024-02-06 23:18:09,2024-02-15 21:51:09,163.193.224.188,126.91.142.205,Poseidon,sfranklin@gordon.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Failed,Conducting container discovery,Christy Green,,,
114,2024-02-01 05:50:53,2024-02-08 03:45:16,112.130.185.251,174.200.177.205,Cobalt Strike,jschmitt@martinez.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
115,2024-02-13 09:53:46,2024-02-14 01:34:15,206.174.99.211,174.200.177.205,Cobalt Strike,jschmitt@martinez.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Christy Green,,,
116,2024-02-27 19:12:39,2024-02-27 19:12:39.364289,112.130.185.251,157.2.65.239,Cobalt Strike,johngross@jones.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
117,2024-01-07 23:50:44,2024-02-03 22:33:57,206.174.99.211,174.200.177.205,OST,sarahallen@combs-anderson.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Richard Mcbride,,,
118,2024-01-19 05:48:58,2024-01-24 22:38:44,206.0.98.240,157.2.65.239,Poseidon,hendersonjohn@dalton-lam.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Christy Green,,,
119,2024-03-01 05:34:00,2024-03-01 05:34:00.804932,63.79.24.226,157.2.65.239,Cobalt Strike,johngross@jones.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Deborah Hunter,,,
120,2024-06-25 01:40:43,2024-06-25 01:40:43.668714,42.118.146.148,64.69.133.141,Cobalt Strike,hendersonjohn@dalton-lam.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
121,2024-02-04 05:16:40,2024-02-13 08:54:33,206.0.98.240,35.79.43.142,Poseidon,seanlopez@green-bullock.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Deborah Hunter,,,
122,2024-02-07 18:06:47,2024-02-07 23:18:46,42.118.146.148,157.2.65.239,Poseidon,johngross@jones.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Deborah Hunter,,,
123,2024-06-11 05:59:47,2024-06-11 05:59:47.744366,63.79.24.226,174.200.177.205,Cobalt Strike,sfranklin@gordon.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
